0,1,2,3,4,5
tt0177513,Martin Edwards,Martin Edwards,5.3,1h 35min,"Marisa has never achieved the success of her mother, a famous figure in the art world. And that's led her on a monumental search for new artistic outlets (as well as quite a few hours spent on the therapist's couch). But when she meets Paul, a shy neighbor who's having the same problems, it could be love at first sight. Or maybe just a case of misery loving a little c... Leer todo"
tt0177185,Steven Nevius,"India Allen, Khara Bromiley",3.9,1h 30min,"Danger, deceit and dust. The Wild West of 1886 is no place for a woman, but it's the perfect place for The Rowdy Girls, fabulous females fighting for fortune and freedom on the frontier."
tt0178050,Adam Collis,"Randall Jahnson, Russell De, Grazier",5.6,1h 30min,"A comedy that takes place over twenty-four hours on the Sunset Strip, in 1972."
tt0178866,Stephen Lennhoff,Michael Jones,5.3,1h 38min,"John (Paul Blackthorne), lonely and living in London, unexpectedly meets outlandish druggie skinhead Byron (Ian Henderson), and suddenly, John's life turns to wacky. When Byron takes him to Boys Galore, a gay escort agency, John is introduced to wealthy American Bad Daddy (Angus MacInnes), who hires John on the spot. But the hovering presence of a strange and sinister... Leer todo"
tt0177213,,Tom Sawyer,7.4,1h 31min,A lonely computer wiz creates a robot with human-like intelligence. They will influence and teach each other as their lives spin out of control.
tt0179915,John Shepphird,Robert Easter,3.7,2000,A law clerk juggles romance and work while tracking down the owner of an art gallery in order to settle a claim.
tt0179677,Lewis Furey,"Pascal Arnold, Lewis Furey, George F. Walker",5.1,1h 30min,"A killer is loose and the mayor's head happens to be missing. Various ghetto misfits stomp through dreams, lust, and delusions, some trying to find the truth, some trying to hide it, others not knowing what's going on at all."
tt0179987,Nicolas Wadimoff,"Nicolas Wadimoff, Moussa Maaskri, Louis Bélanger",6.1,1h 40min,"Une station-service au bord de l'autoroute. Abdou, jeune fugueur, se lie d'amitié avec Georges, le pompiste Arabe. Georges profite d'une ultime et violente dispute avec son patron pour plaquer son boulot et accompagner le petit Abdou jusqu'à Marseille. L'enfant souhaite y voir un match de la coupe du monde de football. La tête pleine de rêves et les poches vides, ils ... Leer todo"
tt0179443,Edward Thomas,James Hawes,3.5,1h 31min,Pete in London inherits a company. The ambitious accountant makes a deal with a Russian mafia boss. The Russian wants hard currency and grand-kids but kills his daughter's lovers. His daughter needs an Englishman like Sir Francis Drake.
tt0179144,Orion Walker,"Richard Zangrande Gaubert, Orion Walker",6.1,1h 30min,Dirección
tt0181151,Mike Nichols,"Garry Shandling, Michael Leeson, Ed Solomon",5.6,1h 45min,A human-looking alien from a highly advanced but emotionless all-male society is sent to Earth to impregnate a woman and bring the child back to their planet. The alien ends up falling in love there. A suspicious F.A.A. Agent targets him.
tt0180837,Bruno Barreto,"Alexandre Machado, Sérgio Sant'Anna, Fernanda Young",6.3,1h 35min,A separated attorney in Rio sees an English teaching American widow and tries to woo her.
tt0182295,Kenneth Branagh,"William Shakespeare, Kenneth Branagh",5.9,1h 33min,
tt0181548,Frédéric Jardin,"Edouard Baer, Frédéric Jardin, Fabrice Roger-Lacan",4.3,1h 35min,"The Sister bros have big ambitions in the showbiz.They have sent their ""invaluable "" screenplay for months to countless producers ,to no avail ;so when the last producer turns their offer down ,they blackmail him : they film him with his mistress in a hotel room and threaten him: the video cassette could be sent to his wife and her wealthy dad ,or ,worse,shown on inte... Leer todo"
tt0181945,John D. Hancock,Dorothy Tristan,5.5,1h 46min,
tt0180683,Matthew Miele,"Chris Fetchko, Matthew Miele",5.9,1h 32min,A homeless man takes a newly homeless man under his wing and teaches him how to survive on the streets.
tt0183550,Mark Lamprell,Mark Lamprell,6.4,1h 35min,"When a meddlesome mother enrolls in university with her son, old and new worlds collide with awesome consequences."
tt0183488,Fred Parnes,Fred Parnes,6.6,1h 50min,"The lives of two unambitious duplex neighbors, divorced father, hot-tempered, blues-obsessed documentarian Roper and wealthy golf-playing wastrel Andy, are compared. Both have loved ones who want them to do something with their lives."
tt0183505,"Bobby Farrelly, Peter Farrelly","Peter Farrelly, Mike Cerrone, Bobby Farrelly",6.6,1h 56min,
tt0181836,Craig Mazin,James Gunn,5.7,1h 22min,The sixth or seventh best superhero team in the world pursue their rightful place in the harshly competitive world of toy tie-ins and fighting evil.
tt0181875,Cameron Crowe,Cameron Crowe,7.9,2h 2min,
tt0183142,Jean-Louis Daniel,"Jean-Louis Daniel, Mariusz Pujszo, Rick Richardson",2.5,1h 37min,Supermodel Everhart is kidnapped by bad guy Prochnow and rescued by good guy Otto in technopop action.
tt0184009,Jeff Stolhand,"Marie Black, Cameron Johnson, Ryan Wickerham",6.0,1h 30min,The owner of a small alternative bookstore fends off her scheming fiance and real estate developers.
tt0184056,Rémi Lange,"Rémi Lange, Antoine Parlebas",7.3,1h 25min,Antoine and Rémi have been living together for over three years. Rémi films their life using a Super 8 camera.
tt0183869,Gérard Krawczyk,Luc Besson,6.5,1h 28min,
tt0183946,Matthias X. Oberg,"Tim Dabringhaus, Matthias X. Oberg",5.5,1h 31min,"Black comedy feature about a young undertaker, starting his own firm in a seaside resort."
