,0,1,2,3,4,5
340,tt0245891,drama,Extremedays,movie,2001,9
341,tt0245501,drama,Things Behind the Sun,movie,2001,1
342,tt0246076,drama,Metal,movie,2001,5
343,tt0245686,drama,Joe Dirt,movie,2001,4
344,tt0246158,drama,Les portes de la gloire,movie,2001,6
345,tt0245848,drama,Csodálatos mandarin,short,2001,2
346,tt0245171,drama,Invincible,movie,2002,1
347,tt0245407,drama,Crush,movie,2002,6
348,tt0245634,drama,Jack the Dog,movie,2001,1
349,tt0246228,drama,Alex in Wonder,movie,2001,3
350,tt0245238,drama,Lost and Delirious,movie,2002,8
351,tt0246278,drama,"Oui, mais...",movie,2001,4
352,tt0246268,drama,To tama,movie,2002,1
353,tt0246108,drama,Nailed,movie,2001,4
354,tt0246853,drama,Wie Feuer und Flamme,movie,2001,6
355,tt0246578,drama,Donnie Darko,movie,2002,6
356,tt0247427,drama,In the Shadows,movie,2001,8
357,tt0246978,drama,Thema Nr. 1,movie,2001,8
358,tt0246730,drama,Kikar Ha-Halomot,movie,2001,5
359,tt0247419,drama,Ignition,movie,2002,1
360,tt0247512,drama,The Medicine Show,movie,2001,10
361,tt0248490,drama,El sueño del caimán,movie,2003,3
362,tt0249110,drama,Rentun ruusu,movie,2001,1
363,tt0247823,drama,Women in Film,movie,2001,1
364,tt0248017,drama,Forbidden City,movie,X,
365,tt0248966,drama,Love & Support,movie,2001,7
366,tt0247786,drama,"Two Days, Nine Lives",movie,2001,3
367,tt0250081,drama,Storytelling,movie,2002,4
368,tt0249542,drama,Goebbels und Geduldig,movie,2001,10
369,tt0248123,drama,Julietta,movie,2001,9
370,tt0248742,drama,Crash Point Zero,movie,2001,3
371,tt0250371,drama,The Other Side of Heaven,movie,2002,4
372,tt0250513,drama,Losing Grace,movie,X,
373,tt0249082,drama,Plan B,movie,2001,11
374,tt0251057,drama,Double Bang,movie,2001,8
375,tt0249081,drama,Le petit poucet,movie,2002,5
376,tt0251458,drama,Vakvagányok,movie,2001,1
377,tt0251415,drama,Stickmen,movie,2001,1
378,tt0251447,drama,Der Tunnel,movie,2001,1
379,tt0248770,drama,Drakarna över Helsingfors,movie,2001,9
380,tt0250636,drama,Out of the Black,movie,2001,7
381,tt0251193,drama,Magic Rock,movie,X,
382,tt0250617,drama,Night at the Golden Eagle,movie,2002,5
383,tt0250975,drama,A Bad Spell,short,X,
384,tt0251294,drama,Nikita Blues,movie,2001,2
385,tt0253225,drama,Mademoiselle,movie,2001,3
386,tt0250224,drama,Crazy/Beautiful,movie,2001,9
387,tt0251696,drama,Fast Sofa,movie,2006,1
388,tt0250274,drama,The Brothers,movie,2001,3
389,tt0251110,drama,Gypsy 83,movie,2001,6
390,tt0252194,drama,Adieu Babylone,movie,2001,2
391,tt0250347,drama,Double Whammy,movie,2001,8
392,tt0252299,drama,Buffalo Soldiers,movie,2002,10
393,tt0250427,drama,L'homme des foules,movie,2001,4
394,tt0249783,drama,Sri Manjunatha,movie,2001,6
395,tt0251370,drama,Rennie's Landing,movie,2003,10
396,tt0252665,drama,Le vélo de Ghislain Lambert,movie,2002,6
397,tt0252503,drama,Heist,movie,2002,4
398,tt0252501,drama,Hearts in Atlantis,movie,2002,2
399,tt0253114,drama,My Best Friend's Wife,movie,2001,10
400,tt0253197,drama,Syndare i sommarsol,movie,2001,11
401,tt0254610,drama,Nynke,movie,2001,9
402,tt0254334,drama,The Fourth Angel,movie,2002,1
403,tt0096056,drama,Crime and Punishment,movie,2002,6
404,tt0119980,drama,Random Shooting in L.A.,movie,2002,7
405,tt0130255,drama,Shivam,movie,2002,6
406,tt0154187,drama,The Bacchae,movie,X,
407,tt0162862,drama,"António, Um Rapaz de Lisboa",movie,2002,1
408,tt0162838,drama,Three Days of Rain,movie,2003,9
409,tt0164003,drama,City of Ghosts,movie,2003,3
410,tt0165832,drama,Interstate 60: Episodes of the Road,movie,2003,9
411,tt0168786,drama,Antwone Fisher,movie,2003,1
412,tt0175203,drama,La balsa de piedra,movie,2002,9
413,tt0176185,drama,The Story of O: Untold Pleasures,movie,2002,10
414,tt0184387,drama,Dead Man's Dream,movie,2002,7
415,tt0186865,drama,O Beijo,short,2002,7
416,tt0190938,drama,Swindle,movie,2004,4
417,tt0194143,drama,Meet Prince Charming,movie,1999,
418,tt0195131,drama,Viva la scimmia,movie,X,
419,tt0198450,drama,Empty,short,2002,3
420,tt0202457,drama,Tornare indietro,movie,2002,11
421,tt0206778,drama,2 Birds with 1 Stallone,movie,2002,10
422,tt0207826,drama,The Water Game,movie,2002,3
423,tt0209077,drama,Ken Park,movie,2003,4
424,tt0210953,drama,Road Dogz,movie,2002,1
425,tt0209464,drama,Villa des roses,movie,2002,4
426,tt0212132,drama,The Tracker,movie,2002,8
427,tt0214304,drama,Wind,short,2002,8
428,tt0215687,drama,Cuba,movie,2002,2
429,tt0219272,drama,Redemption of the Ghost,movie,2002,2
430,tt0217505,drama,Gangs of New York,movie,2003,1
431,tt0221013,drama,Séraphin: un homme et son péché,movie,2002,12
432,tt0222024,drama,Hum Tumhare Hain Sanam,movie,2002,5
433,tt0229187,drama,24 heures de la vie d'une femme,movie,2003,1
434,tt0229567,drama,McAllister Affair: The Gathering,movie,2003,3
435,tt0233418,drama,Cavale,movie,2003,6
436,tt0233469,drama,Collateral Damage,movie,2002,5
437,tt0235737,drama,The Salton Sea,movie,2002,10
438,tt0238546,drama,Queen of the Damned,movie,2002,6
439,tt0238380,drama,Equilibrium,movie,2003,5
440,tt0241453,drama,Florida City,movie,2002,4
441,tt0240980,drama,Till Human Voices Wake Us,movie,2003,9
442,tt0240510,drama,The Four Feathers,movie,2002,11
443,tt0241998,drama,Sweetie Pie,movie,2002,1
444,tt0242953,drama,A Time for Dancing,movie,2002,9
445,tt0244471,drama,Cottonmouth,movie,2002,11
446,tt0245479,drama,Just a Kiss,movie,2003,5
447,tt0245562,drama,Windtalkers,movie,2002,9
448,tt0246890,drama,King Rikki,movie,2002,5
449,tt0246592,drama,Dummy,movie,2003,7
450,tt0247444,drama,Juwanna Mann,movie,2002,6
451,tt0250067,drama,The Trip,movie,2002,5
452,tt0248216,drama,Na Tum Jaano Na Hum,movie,2002,5
453,tt0249215,drama,Umur,movie,2002,9
454,tt0250797,drama,Unfaithful,movie,2002,6
455,tt0250790,drama,Turn of Faith,movie,2002,6
456,tt0251114,drama,Hart's War,movie,2002,2
457,tt0250181,drama,97 Brooks,movie,2002,2
458,tt0252444,drama,Rabbit-Proof Fence,movie,2003,5
459,tt0250804,drama,Don't Let Go,movie,2002,3
460,tt0255432,drama,Now & Forever,movie,2002,8
461,tt0257019,drama,Purpose,movie,2002,11
462,tt0256276,drama,Possession,movie,2002,9
463,tt0257756,drama,High Crimes,movie,2002,8
464,tt0258000,drama,Panic Room,movie,2002,4
465,tt0259288,drama,Dragonfly,movie,2002,7
466,tt0259484,drama,Paid in Full,movie,2002,10
467,tt0259702,drama,The Unique Oneness of Christian Savage,short,2002,4
468,tt0258816,drama,The Reckoning,movie,2004,6
469,tt0259238,drama,Cazador de sombras,movie,X,
470,tt0260695,drama,Hometown Legend,movie,2002,1
471,tt0260185,drama,Mischka,movie,2002,2
472,tt0262396,drama,Empire,movie,2002,12
473,tt0264472,drama,Changing Lanes,movie,2002,12
474,tt0263761,drama,More Than Puppy Love,movie,2002,3
475,tt0265864,drama,"Thank You, Good Night",movie,2002,3
476,tt0265591,drama,Pumpkin,movie,2004,3
477,tt0264464,drama,Catch Me If You Can,movie,2003,2
478,tt0265252,drama,Just Can't Get Enough,movie,2002,4
479,tt0267248,drama,Abandon,movie,2002,10
480,tt0265188,drama,Der Felsen,movie,2002,7
481,tt0265625,drama,Strange Hearts,movie,2002,10
482,tt0266971,drama,The Slaughter Rule,movie,2002,9
483,tt0267000,drama,Stray Dogs,movie,2002,8
484,tt0266452,drama,Death to Smoochy,movie,2002,3
485,tt0266849,drama,Petites misères,movie,2002,2
486,tt0268229,drama,Close Enough to Touch,movie,2002,9
487,tt0268374,drama,Hundtricket: The Movie,movie,2002,10
488,tt0268727,drama,The Greatest Adventure of My Life,movie,2002,4
489,tt0269191,drama,Em Volta,movie,2002,
490,tt0269461,drama,Laissez-passer,movie,2002,7
491,tt0270197,drama,American Gun,movie,2003,9
492,tt0270911,drama,Dirty Liar,movie,2002,2
493,tt0270991,drama,Hollywood Vampyr,movie,2003,4
494,tt0271400,drama,Black Swan,movie,X,
495,tt0271045,drama,The Other Brother,movie,2004,12
496,tt0271000,drama,Hus i helvete,movie,2002,2
497,tt0271219,drama,Tadpole,movie,2002,11
498,tt0271537,drama,Happy Here and Now,movie,2003,1
499,tt0271798,drama,Cock & Bull Story,movie,2002,4
500,tt0271582,drama,Joshua,movie,2004,5
501,tt0271742,drama,Pyar Ki Dhun,movie,X,
502,tt0273457,drama,Beauty Betrayed,movie,2002,7
503,tt0274309,drama,24 Hour Party People,movie,2003,5
504,tt0273923,drama,Orange County,movie,2003,1
505,tt0274424,drama,Chacho Rom,movie,2002,5
506,tt0274430,drama,Club Le Monde,movie,2002,10
507,tt0274558,drama,The Hours,movie,2003,3
508,tt0274812,drama,Secretary,movie,2003,7
509,tt0274639,drama,Nothing So Strange,movie,2006,4
510,tt0274847,drama,Sin destino,movie,2002,3
511,tt0275022,drama,Crossroads,movie,2002,3
512,tt0275275,drama,*Corpus Callosum,movie,2002,1
513,tt0275263,drama,Ciao America,movie,2002,2
514,tt0276140,drama,Fogbound,movie,2002,8
