0,1,2,3,4,5
tt0425308,Henry Bean,Henry Bean,6.1,1h 32min,A man who is being driven crazy by the noise in New York City decides to take vigilante action against it.
tt0425063,Allen Blumberg,Allen Blumberg,7.0,1h 20min,"It's 1952 and big city reporter Roland Lu is returning to his hometown. What he finds is a town living in fear under the rule of his nemesis, Frank Dugan. Knowing his life is in peril, Roland stays, hoping to score the next big story that can win him the Pultizer."
tt0425430,"Danny Pang, Oxide Chun Pang","Mark Wheaton, Todd Farmer",5.3,1h 30min,
tt0426931,Kirsten Sheridan,"Nick Castle, James V. Hart, Paul Castro",7.4,1h 54min,
tt0427327,Adam Shankman,"Leslie Dixon, John Waters, Mark O'Donnell",6.7,1h 57min,
tt0426899,Mesut Uçakan,Mesut Uçakan,4.7,1h 34min,Dirección
tt0427370,Michael J. Narvaez,Michael J. Narvaez,5.4,1h 41min,"A former revolutionary is forced to confront his past after the murder of his eldest son. He must devise a way to avenge his son's death, save his family from ruin, and face the consequences of his choices."
tt0427309,Denzel Washington,"Robert Eisele, Jeffrey Porro, Tony Scherman",7.5,2h 6min,
tt0427470,Scott Frank,Scott Frank,7.0,1h 39min,
tt0428579,Marc Klein,"Marc Klein, Melissa Bank",5.4,1h 37min,
tt0431197,Peter Berg,Matthew Michael Carnahan,7.0,1h 50min,
tt0431308,"Richard La, Gravenese","Richard La, Gravenese, Steven Rogers, Cecelia Ahern",7.0,2h 6min,
tt0432264,Cherie Nowlan,"Keith Thompson, Jo Brand, Brenda Blethyn",6.4,1h 45min,"The shy son of an aging comedienne tries to find a balance between his demanding home life, his new girlfriend, and his mother's second chance at fame."
tt0432988,Philippe Barcinski,"Fabiana Werneck Barcinski, Philippe Barcinski, Eugenio Puppo",6.9,1h 30min,Three control freaks lose the people they love.
tt0433118,Giorgio Marco Peretti,Giorgio Marco Peretti,7.6,1h 23min,Dirección
tt0433438,Ziad Ahmed,Ziad Ahmed,7.1,2h 15min,A young Moroccan man fulfills his dream of going to America only to find himself caught in a triangle of two warring mafia families and the FBI.
tt0434313,Kevin Castro,"Beverly Brandt, Janus Cercone",6.0,17min,A disinherited heiress winds up taking a hotel job so she can pay off her huge debts.
tt0435528,Stewart Hendler,Christopher Borrelli,5.7,1h 34min,Sinister things begin happening to kidnappers who are holding a young boy for ransom in a remote cabin.
tt0435670,David S. Goyer,"Mick Davis, Christine Roum, Mats Wahl",6.1,1h 42min,
tt0436288,Gary Chason,Sue Rock,7.9,1h 31min,"An orphan and product of her circumstances, Lynny tires of her edgy lifestyle and turns her life around...or does she?"
tt0437250,Gil Kofman,Gil Kofman,5.7,1h 35min,A growing obsession with the Holocaust exacerbates the mental breakdown of a lonely tollbooth operator.
tt0437526,Catherine Breillat,"Jules-Amédée Barbey d'Aurevilly, Catherine Breillat",6.2,1h 55min,
tt0439115,François Dompierre,François Dompierre,5.8,1h 40min,"A critically acclaimed, international festival award winning feature debut the film effectively captures the push-pull of two two people attracted to each other."
tt0438859,Bille August,"Bille August, Bob Graham, James Gregory",7.1,1h 58min,
tt0438944,Sébastien Jaudeau,"Yves Bichet, Isabelle Coudrier-Kleist, Sébastien Jaudeau",6.5,1h 27min,"Arriving with a wife and child in the heart of the Ardèche, Étienne saw his life topple in the first days of his employment in an ultra modern turkey farm. In contact with Chaumier, his new boss, and the denatured beasts of the farm, Étienne gradually changes."
tt0441022,Brian Cox,"Brian Cox, Javier Hernandez",3.5,1h 30min,A young man is killed and resurrected by the Aztec God of Death as his slave.
tt0441007,Davis Guggenheim,"Lisa Marie Petersen, Karen Janszen, Andrew Shue",6.2,1h 35min,"Grace, a football enthusiast, fights an uphill battle to play in the boys' varsity team of her high school and gain support for women's soccer while dealing with the death of her brother."
tt0442084,Vera Chawla,Vera Chawla,6.3,2007,"Chris Carrington, 22, a brilliant Senior in college, has lost his father and brother to a hereditary kidney disease. He knows that he will die from it also. Having dealt with the agony of this loss and having lost his faith in God, Chris is unexpectedly contacted by an underground illegal Russian immigrant who tells him that his father and brother did not die from nat... Leer todo"
tt0446013,Marcus Nispel,"Laeta Kalogridis, Nils Gaup",5.4,1h 39min,
tt0446707,Régis Wargnier,"Ariane Fert, Harriet Marin, Julien Rappeneau",5.6,1h 56min,A modern-day Parisian town crier gradually learns that someone is using him to give cryptic warnings of a plague outbreak in the city.
tt0445922,Julie Taymor,"Dick Clement, Ian La Frenais, Julie Taymor",7.3,2h 13min,
tt0443706,David Fincher,"James Vanderbilt, Robert Graysmith",7.7,2h 37min,
tt0445336,Roy Andersson,Roy Andersson,7.4,1h 35min,"You, the Living is a film about humankind, its greatness and its baseness, joy and sorrow, its self-confidence and anxiety, its desire to love and be loved."
tt0446802,Brad Isaacs,Brad Isaacs,7.2,1h 26min,
tt0443570,Maria Schrader,"Maria Schrader, Zeruya Shalev, Laila Stieler",5.9,1h 53min,A married young academic falls under the sexual thrall of a much older man whose air of jaded ennui conceals a secret desire for vengeance...
tt0446403,Roy Chin,Roy Chin,3.5,1h 35min,"Milk and Fashion centers on a young foreigner, Tyler Ralstin, as he travels from rural Yunnan to Shanghai to live with his uncle Jack. As caretaker for Tyler, Jack must balance his life between the high demand of his profession and the role of a mentor as he guides his nephew through the tough life-decisions that come with growing up. Jack is the president of a cultur... Leer todo"
tt0443680,Andrew Dominik,"Andrew Dominik, Ron Hansen",7.5,2h 40min,
