0,1,2,3,4,5
tt0331312,Frankie J. Mosca,"Frankie J. Mosca, Sal De, Lucia, Ande Cira",7.7,1h 39min,"Awakening from a near fatal overdose, Chris embraces a second chance at life. Required to enroll into a 12-Step Program, and mandated to state psychiatrist appointments, Chris is forced to revisit his chaotic past; a history that revolves around his friend Ande and her autistic brother Frankie. Follow Chris as his past and present converge revealing a deranged cocktai... Leer todo"
tt0370451,Michael Pollak,"Scott Bruffey, Michael Pollak",5.1,26min,"A powerful film that examines the ""progress"" of our present day culture through the eyes of the oppressor."
tt0393049,Jerome Elston Scott,Jerome Elston Scott,5.8,1h 38min,"Nick Anderson, Kevin Daniels, and Tracey Green do everything together. They are the best of friends, and yet they couldn't be more different. Neighbors from adolescence, they finish each other's thoughts and sentences, joys and pains, happiness and tears. Using Nick's house as their own members only clubhouse, they escape into their own world of contentment. Yet the i... Leer todo"
tt0396123,Carsten Brandt,Carsten Brandt,6.9,4h 40min,An original story about a broken desperate film director.
tt0403645,Nikita Mikhalkov,"Nikita Mikhalkov, Vladimir Moiseenko, Aleksandr Novototskiy-Vlasov",4.3,3h 1min,"A look at the horrors of the Eastern Front of World War II from the points of view of repressed soldier of penal battalion and his young daughter, who stayed behind enemy lines."
tt0411951,Dwight H. Little,"Alan B. Mc, Elroy",4.8,1h 31min,
tt0419692,Robin Christian,Robin Christian,4.4,1h 52min,"A distraught college student finds a phone that enables her to talk to her deceased mother in the past. Instead of a heart attack, she learns that her mother was murdered. She tries to use the phone to stop the murder from occurring before the killer finds and kills her too."
tt0443331,Satish Kaushik,Shiraz Ahmed,4.0,1h 49min,
tt0445054,Daniel Grou,Patrick Senécal,6.5,1h 45min,"A doctor seeks revenge by kidnapping, torturing and killing the man who raped and murdered his young daughter."
tt0444531,Enrique Gabriel,"Enrique Gabriel, Lucia Lipschutz",6.0,1h 55min,Closely observed relationships: how the 2008 financial crisis affects the personal lives of various individuals who develop different surviving strategies when thrown together in a caravan site on outskirts of Madrid.
tt0446686,"Lonette Mc, Kee","Lonette Mc, Kee",5.8,2010,
tt0451108,Cory Cataldo,Cory Cataldo,6.0,1h 38min,"Will is a misfit who can't catch a break: he's terrorized by his psychotic father at home and taunted by his peers at school. His only solace comes from three classmates who face similar abuse. Without guidance or a sense of purpose, the four friends spend their days getting high and commiserating until they reach a breaking point. With nothing to lose and no escape f... Leer todo"
tt0454155,Laura Casabe,"Laura Casabe, Tomas Wortley",6.5,1h 25min,"In a popular auction that matches the sinister and colorful of a circus of phenomena, a couple adopts children in exchange for their belongings. The children there acquired, usually mutilated, are in their new home in order to prepare for access to the Peronist education program taught in only 10 state institutes."
tt0457591,Miguel Coyula,"Miguel Coyula, Edmundo Desnoes",7.0,1h 53min,"An intellectual leaves the Cuban revolution and 'underdevelopment' behind only to find himself at odds with the ambiguities of his new life in the 'developed' world. A portrait of alienation, of an outsider with no clear-cut politics or ideology. A stranger in a strange land struggling with old age, sexual desire and ultimately the impossibility for the individual to ... Leer todo"
tt0460778,Bob Meyer,"Randy Buescher, Bob Meyer",4.7,1h 38min,"Drunkboat tells the story of a young teenager, Abe, who manipulates his unsuspecting alcoholic uncle (Malkovich) into buying a boat from a conman (Goodman)."
tt0463311,Erik de Castro,"Erico Beduschi, Heber Trigueiro, Erik de Castro",3.3,1h 31min,"A dangerous drug lord operates in Brasilia, the federal capital of Brazil. To capture him, the police will do whatever is necessary. Caught in the middle is a frightened population. ""Federals"" exposes the reality of a country that today is an important route for international drug-trafficking."
tt0465637,Ron Althoff,"Ron Althoff, Michael Su",7.8,1h 30min,"When a San Francisco detective goes hunting for the cruel Asian crime figure who killed his partner, he finds himself thrown into the center of a violent plot to steal a terrorist weapon. Ty Nelson is a detective haunted by the violent death of his partner at the hands of Choy Muk, the leader of the Triad Dragons-- a violent, fanatical Asian gang operating in San Fran... Leer todo"
