,id,nombre,tipo,año
368,tt0205352,Legs Apart,short,2000
369,tt0205391,A Sense of Entitlement,movie,2000
370,tt0205778,Blessed Art Thou,movie,2000
371,tt0206826,In Pursuit,video,2000
372,tt0206324,The Summer of the Kavalcutes,movie,2000
373,tt0206694,Dos hermanos,movie,2000
374,tt0206917,The Man Who Cried,movie,2000
375,tt0207200,Der Weibsteufel,tvMovie,2000
376,tt0207036,Luck of the Draw,movie,2000
377,tt0207271,Sirens of the Deep,movie,2000
378,tt0206036,If These Walls Could Talk 2,tvMovie,2000
379,tt0206545,Along for the Ride,movie,2000
380,tt0207130,Sulla spiaggia e di là dal molo,movie,2000
381,tt0206608,Abschied - Brechts letzter Sommer,movie,2000
382,tt0206750,Navigating the Heart,tvMovie,2000
383,tt0208376,Family Jewels,movie,2000
384,tt0208298,The Miracle Maker,movie,2000
385,tt0208032,Canone inverso - Making Love,movie,2000
386,tt0208405,Rhapsody,tvMovie,2000
387,tt0208017,Broke Even,movie,2000
388,tt0207163,Tolerância,movie,2000
389,tt0206795,Eine Hand Voll Gras,movie,2000
390,tt0207524,How to Kill Your Neighbor's Dog,movie,2000
391,tt0208911,The King Is Alive,movie,2000
392,tt0206200,Il partigiano Johnny,movie,2000
393,tt0208889,De ida y vuelta,movie,2000
394,tt0208988,Get Carter,movie,2000
395,tt0207638,Here's to Life!,movie,2000
396,tt0207745,"A Girl, Three Guys, and a Gun",movie,2000
397,tt0207296,After the Rain,movie,2000
398,tt0208037,The Chaos Factor,movie,2000
399,tt0206977,No Taboo,movie,2000
400,tt0208629,Nuremberg,tvMiniSeries,2000
401,tt0208993,Downtown 81,movie,2000
402,tt0209080,King of the Korner,movie,2000
403,tt0209013,Harlan County War,tvMovie,2000
404,tt0208883,Desire,movie,2000
405,tt0209322,Skipped Parts,movie,2000
406,tt0208874,The Contender,movie,2000
407,tt0210065,Gangster Number One,movie,2000
408,tt0210357,The Testimony of Taliesin Jones,movie,2000
409,tt0210070,Ginger Snaps,movie,2000
410,tt0210149,Lakeboat,movie,2000
411,tt0210075,Girlfight,movie,2000
412,tt0210890,"Paris, mon petit corps est bien las de ce grand monde",movie,2000
413,tt0210952,Ritual,movie,2000
414,tt0210130,"Jails, Hospitals & Hip-Hop",movie,2000
415,tt0210628,The Crossing,tvMovie,2000
416,tt0210714,The Golden Spiders: A Nero Wolfe Mystery,tvMovie,2000
417,tt0210177,Monsanto,tvMovie,2000
418,tt0210776,Johnny Famous,movie,2000
419,tt0210884,Papa's Song,movie,2000
420,tt0210382,The Weight of Water,movie,2000
421,tt0211130,Les étrangers,tvMovie,2000
422,tt0210945,Remember the Titans,movie,2000
423,tt0210616,Center Stage,movie,2000
424,tt0211036,The Third Lie,short,2000
425,tt0210013,Dreams in the Attic,tvMovie,2000
426,tt0209180,Nebeska udica,movie,2000
427,tt0209037,Iedereen beroemd!,movie,2000
428,tt0210358,Things You Can Tell Just by Looking at Her,movie,2000
429,tt0210217,Pandaemonium,movie,2000
430,tt0210044,Flowers for Algernon,tvMovie,2000
431,tt0210471,A la medianoche y media,movie,2000
432,tt0210567,Beautiful,movie,2000
433,tt0210584,Bootmen,movie,2000
434,tt0210299,Songcatcher,movie,2000
435,tt0210719,The Great Gatsby,tvMovie,2000
436,tt0211309,The Sky Is Falling,movie,2000
437,tt0210480,Ainsi soit-il,movie,2000
438,tt0211296,Chasing the Dragon,movie,2000
439,tt0211320,A Father's Choice,tvMovie,2000
440,tt0211554,Love me,movie,2000
441,tt0212474,Rosszfiúk,movie,2000
442,tt0211427,In Loving Memory,movie,2000
443,tt0211559,Padre Pio,tvMovie,2000
444,tt0212607,When the Time Comes,short,2000
445,tt0211457,Der Kardinal - Der Preis der Liebe,tvMovie,2000
446,tt0211732,La vita cambia,tvMovie,2000
447,tt0211407,The Heist,video,2000
448,tt0211721,"Vera, nadezhda, krov'",movie,2000
449,tt0211426,Ice Angel,tvMovie,2000
450,tt0212604,Tully,movie,2000
451,tt0211539,Nel cuore del padre,tvMovie,2000
452,tt0212974,Groove,movie,2000
453,tt0211387,Gouttes d'eau sur pierres brûlantes,movie,2000
454,tt0212815,Big Eden,movie,2000
455,tt0212889,Common Ground,tvMovie,2000
456,tt0212826,Bread and Roses,movie,2000
457,tt0212533,The Spring,tvMovie,2000
458,tt0213677,Ghaath,movie,2000
459,tt0212742,After Alice,movie,2000
460,tt0213231,Seducing Maarya,movie,2000
461,tt0213127,Obstacles,movie,2000
462,tt0211718,Vengo,movie,2000
463,tt0213595,"Tout va bien, on s'en va",movie,2000
464,tt0212903,The Dark Beginnings of Sherlock Holmes: Part 1,tvEpisode,2000
465,tt0213890,Mohabbatein,movie,2000
466,tt0213733,Jadviga párnája,movie,2000
467,tt0212215,Her i nærheden,movie,2000
468,tt0212318,Madame Bovary,tvMovie,2000
469,tt0212218,Hidden Blessings,tvMovie,2000
470,tt0211492,The Luzhin Defence,movie,2000
471,tt0212667,An Intimate Friendship,movie,2000
472,tt0211598,Il ritorno del piccolo Lord,tvMovie,2000
473,tt0211941,Beat,movie,2000
474,tt0212059,The Clean and Narrow,movie,2000
