nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm1395884,Ruth Gerson,\N,\N,"soundtrack,actress","tt0472634,tt0259453,tt0995738,tt0371101"
nm0147794,Giuseppe Cederna,1957,\N,"actor,director,writer","tt0102426,tt0875034,tt1103145,tt5419294"
nm0535502,Mía Maestro,\N,\N,"actress,soundtrack,producer","tt2654620,tt1673434,tt1615065,tt0318462"
nm1631949,Jean Paul Leroux,\N,\N,"actor,producer","tt0371939,tt1043716,tt9281190,tt1962349"
nm0001952,Rubén Blades,1948,\N,"actor,soundtrack,composer","tt2193215,tt0285823,tt1599348,tt0109456"
nm1711674,Carlos Julio Molina,\N,\N,"actor,composer","tt2193215,tt0371939,tt2393813,tt2738004"
nm1406557,Ari Fliakos,\N,\N,"actor,producer","tt4422836,tt7491982,tt1796960,tt2741602"
nm0785352,Terry Serpico,1964,\N,"actor,stunts,director","tt0203259,tt4711356,tt4236770,tt0859592"
nm1308295,Steve Cuiffo,\N,\N,"actor,miscellaneous","tt1801549,tt0374817,tt0455465,tt7135736"
nm1406362,Joe Delafield,\N,\N,actor,"tt2989072,tt0372828,tt0141842,tt0452620"
nm1324959,Mads Koudal,1977,\N,"actor,writer,director","tt2586116,tt10399278,tt7516594,tt15711252"
nm1330023,Kim Sønderholm,1973,\N,"actor,writer,producer","tt2995858,tt3638488,tt0826760,tt1733785"
nm1335847,Lene Storgaard,1978,\N,"actress,producer","tt0459953,tt0369911,tt0371677,tt1235786"
nm1265803,Christian Gade Bjerrum,1981,\N,actor,"tt0371677,tt3119360,tt1937390,tt5820530"
nm0559636,Shunsuke Matsuoka,1972,\N,"actor,director,writer","tt0109022,tt1250974,tt0457643,tt0331834"
nm0353717,Masato Hagiwara,1971,\N,actor,"tt0123948,tt0202364,tt0108405,tt0107346"
nm0611932,Peter Mullan,1959,\N,"actor,director,writer","tt0318411,tt0206634,tt1568911,tt1204340"
nm0924154,Shea Whigham,1969,\N,"actor,producer","tt1031280,tt2024469,tt1675192,tt0477139"
nm0643885,Joe Odagiri,1976,\N,"actor,director,writer","tt0475723,tt0363235,tt10752196,tt1098226"
nm1565205,Mitch,\N,\N,"actor,miscellaneous","tt0371050,tt0141120,tt1250974"
nm1126640,Scott Lunsford,1979,\N,actor,"tt0372884,tt0308697,tt1592260,tt1700453"
nm1229213,Jim Verraros,1983,\N,"soundtrack,actor","tt0795376,tt0319931,tt1051981,tt0372884"
nm1373261,Emily Brooke Hands,1976,\N,actress,"tt0372884,tt0402064,tt0837014,tt0795376"
nm1407022,Rebekah Kochan,1984,\N,"actress,writer,producer","tt1833845,tt0795376,tt0372884,tt1472059"
nm0088330,Michael Blevis,\N,\N,actor,tt0118141
nm1816435,Carlos Richardson,\N,\N,actor,tt0118141
nm0299305,Lisa Fusco,1978,\N,actress,"tt0096635,tt0118141,tt0199305,tt0108039"
nm1828210,Steven C. Stewart,1937,2001,"actor,writer","tt0795405,tt0118141,tt1486830"
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0383574,tt0408236,tt0449088"
nm0000307,Helena Bonham Carter,1966,\N,"actress,soundtrack,director","tt0137523,tt0408236,tt1504320,tt1707386"
nm0001833,Emily Watson,1967,\N,"actress,producer,soundtrack","tt0272338,tt0289765,tt0115751,tt0280707"
nm0001808,Tracey Ullman,1959,\N,"actress,writer,producer","tt0196216,tt2180411,tt0092469,tt0109348"
nm0043855,Reiko Aylesworth,1972,\N,"actress,director,producer","tt2070791,tt0285331,tt0780571,tt0758730"
nm0056346,Arielle Barone,\N,\N,actress,tt0146272
nm0085667,Robert Blacker,\N,\N,"actor,miscellaneous","tt2198263,tt0146272"
nm0001965,Élodie Bouchez,1973,\N,"actress,soundtrack,producer","tt0348876,tt0111019,tt0254199,tt0120449"
nm0091773,Holt Boggs,1971,\N,"actor,producer,writer","tt1124373,tt2699128,tt10189204,tt1064899"
nm1655457,Glen Vorhis,\N,\N,actor,"tt1130969,tt1404572,tt0160706"
