id_film,Direccion,Guion,Puntuacion_IMDB,Puntuacion_Rottem,Duracion,Argumento
tt0425253,Nick Guthe,Nick Guthe,5.8,54%,1h 31min,"A rebellious girl hooks up with an escort agency, where her stepfather is a client."
tt0426462,Theo Avgerinos,Matthew Perniciaro,4.9,33%,1h 25min,"Unless Darren can survive New York's largest drug mogul, write a paper on Dante's ""Inferno,"" escape three thugs chasing the wrong guy and sell fifty pills of ecstasy to make his tuition payment, he'll never date the girl of his dreams."
tt0425326,John Jeffcoat,"George Wing, John Jeffcoat",7.0,76%,1h 43min,"After his entire department is outsourced, an American novelty products salesman (Hamilton) heads to India to train his replacement."
tt0425601,Mike Clattenburg,"Mike Clattenburg, Robb Wells",7.1,57%,1h 35min,"Ricky, Julian, and Bubbles come up with a scheme to steal large amounts of untraceable coins."
tt0424804,Lauren Flick,Lauren Flick,6.4,00%,1h 34min,A young New Yorker's love for Hollywood's golden era of glamour is put to the test when she must choose between the man of her dreams and a man she's never dreamed of.
tt0424993,Greg Coolidge,"Don Calame, Chris Conroy, Greg Coolidge",5.5,20%,1h 43min,
tt0425395,Greg Glienna,"Greg Glienna, Peter Stass",5.3,31%,1h 26min,
tt0427089,Debbie Isitt,Debbie Isitt,5.7,57%,1h 40min,
tt0427229,Tom Dey,"Tom J. Astle, Matt Ember",5.6,23%,1h 37min,
tt0427415,"Kim Sky, Evan Seplow",Kim Sky,1.4,20%,1h 45min,"A Jewish man falls in love with a wrestling princess and it's a ""no holds barred"" quest for her love."
tt0428646,Sebastian Niemann,"Dirk Ahner, Eberhard Alexander Burgh, Sebastian Niemann",4.8,46%,1h 43min,"Five hundred years ago, Hui Buh cheated in a card game, thus was turned into a ghost by thunder lighting. For all this time, he has lived in the castle alone without anyone to scare. Until when King Julius moves in for his wedding, Hui Buh knows he has to use every trick of his to keep the long-wasted ghost license."
tt0431124,Henry Jaglom,Henry Jaglom,4.6,39%,1h 40min,"In the City of Angels, a young Iowan girl (Frederick) fresh off the bus falls in love with a promising actor (Kirk)."
tt0429727,Nanni Moretti,"Nanni Moretti, Heidrun Schleef, Francesco Piccolo",6.7,39%,1h 52min,
tt0428446,Finn Taylor,Finn Taylor,5.9,25%,1h 34min,"To investigate bizarre insurance claims that transpired in either accidents, death or both, a former cop and an insurance investigator travel throughout the country to look at the cases up close."
tt0430589,K.S. Adiyaman,"K.S. Adiyaman, Rumi Jaffery",4.1,57%,2h 32min,"Ayaan tricks a model into marrying him, when she leaves her diary in his family's garage, allowing him to follow her around."
tt0429187,Marc Esposito,Marc Esposito,4.6,72%,1h 43min,"This is the story of Franck and Tina. Franck loves Tina, but she can't love him. The man of her life has just died and she's having a nervous breakdown. During a journey to Asia, where Tina attempts rediscover her zest for life, Franck gradually becomes indispensable as a guide, traveling companion and, soon, friend... Will Tina eventually fall in love with him ?"
tt0430304,Keenen Ivory Wayans,"Keenen Ivory Wayans, Shawn Wayans, Marlon Wayans",4.5,12%,1h 38min,
tt0431461,"Doug Bollinger, Bx Giongrete","Doug Bollinger, Robert Capelli Jr.Guy Shockley",5.1, 0%,1h 48min,"Dr. Charlie Keegan had a thriving medical practice in New York City until he was busted for insurance fraud. In order to keep his license, he must serve six months working at a elder care facility in upstate NY. While he is there, he starts to connect to the residents and staff, and regains a passion for patient care. But, his boss is now the one defrauding insurance ... Leer todo"
tt0430559,Gernot Roll,"Claus Peter Hant, Ulrich Limmer, Otfried Preußler",5.3, 0%,1h 34min,"Children's story about an always-unlucky Highwayman of of the southern-German forests in the late-19th century, featuring witty grammification by the author in, of course, German language."
tt0429591,Elizabeth Allen Rosenbaum,"John Quaintance, Jessica Bendinger, Alice Hoffman",5.4,52%,1h 50min,
tt0430634,Jessica Bendinger,Jessica Bendinger,6.4,32%,1h 43min,
tt0430552,"Jim Burau, Diane Kelson","Jim Burau, Diane Kelson",,32%,,"Six 1980's musicians rise up out of obscurity and into a reality TV show where they have to live, compose and cut an album together."
tt0430202,Anees Bazmee,Anees Bazmee,5.6,39%,2h 32min,"Sher Singh lives with his mother and handicapped sister in Punjab but moves to Mumbai, changes his name to Shekhar, meets Nisha and falls in love. When his mother asks him to return, he explains to Nisha that if he takes her before they are married the people would make an issue of it and promises to return in 4 days. On his return, Shekhar is surprised to find out th... Leer todo"
tt0429018,Ian Denyer,Stephen Raphael,3.9,35%,1h 25min,"The Rabbit is the world's best-selling vibrator. In the past year alone, millions have been sold all over the globe. Now experts are warning that the Rabbit is becoming the new addiction. Women who start using it often find they simply cannot stop. This is the first movie to follow the trials and tribulations of a group of Rabbit addicts as they attempt to kick their ... Leer todo"
tt0430582,Stevan Filipovic,"Stevan Filipovic, Marko Mrdjenovic, Natasa Vranjes",5.7,35%,1h 34min,When an ancient book is recovered by a highschool nerd Stanislav all hell brakes loose involving his classmates who try to stop the evil that has risen from it.
tt0429589,John A. Davis,"John A. Davis, John Nickle",5.8,62%,1h 28min,
